home_id,price,area,living_area,kitchen_area,number_of_rooms,status,furnishing_status,bathroom,floor,total_floors,built_year,address,with_makler,home_ad_link
1125,155000.0,85.0,68.0,17.0,3,new,furnished,,6,8,,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/srochno-uy-sotiladi-3-6-8-85m2-oq-saroy-turar-joy-majmuasi-ID43L1S.html
1126,73999.0,60.0,48.0,12.0,2,new,unfurnished,shared,12,12,,Shayxontohur,False,https://www.olx.uz/d/oz/obyavlenie/srochno-arzon-koh-ota-2kom-60m2-koxota-maszhidi-tc-rivera-haqiqiy-ID43j3o.html
1127,315000.0,126.0,100.8,25.2,4,new,furnished,,3,7,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/viaport-sotuvda-4-xonalik-uy-remont-glinka-yakkasaroy-tumani-ID3Zuih.html
1128,120000.0,43.0,34.4,8.6,2,new,unfurnished,,10,14,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/infinity-sotuvda-2-xonalik-korobka-sodiq-azimov-kochasi-efendi-ID40RT9.html
1129,273000.0,68.0,54.4,13.6,2,new,furnished,,8,9,,Shayxontohur,False,https://www.olx.uz/d/oz/obyavlenie/gardens-sotuvda-2-xonalik-uy-remont-tashkent-city-shayxontohur-ID43ntk.html
1130,109000.0,120.0,120.0,10.0,6,new,furnished,private,2,2,2020.0,Sirg‘ali,True,https://www.olx.uz/d/oz/obyavlenie/kivartira-sotiladi-sirgli-120-mk-ID3XyHk.html
1131,82000.0,70.0,70.0,14.0,3,new,unfurnished,private,3,8,2023.0,Shayxontohur,False,https://www.olx.uz/d/oz/obyavlenie/prodaetsya-3-komnatnaya-kvartira-or-r-stroy-mart-ID42ZU6.html
1132,512000000.0,58.0,58.0,14.0,2,new,unfurnished,,14,16,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/navastrojka-2-14-16-korobka-kvartira-okolo-roxat-metro-v-yashnobode-ID43ErX.html
1133,112009.0,58.0,46.4,11.6,2,new,unfurnished,shared,11,13,,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/imperial-korobka-novostrojka-2komnatnaya-58m2-11etazh-alajskij-c5-srochno-ID40rtc.html
1134,214999.0,115.0,92.0,23.0,3,new,furnished,shared,6,7,,Shayxontohur,False,https://www.olx.uz/d/oz/obyavlenie/arzon-abu-dabi-3kom-115m2-xuvojdo-maxalla-berunij-metro-haqiqiy-ID420aD.html
1135,105999.0,90.8,72.64,18.16,3,new,unfurnished,private,5,10,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/arzon-usta-shirin-3kom-korobka-haqiqiy-90-80m2-usta-shirin-malika-ID42SmI.html
1136,145000.0,117.0,112.0,14.0,4,new,unfurnished,private,4,7,,Shayxontohur,False,https://www.olx.uz/d/oz/obyavlenie/shayxontohur-tumani-huvaydi-mahallada-novastroyka-abu-dabiy-sotilad-ID3ZI8b.html
1137,390000.0,107.0,85.6,21.4,3,new,furnished,,7,12,,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/nrg-oybek-sotuvda-3-xonalik-uy-remont-nukus-kochasi-mirobod-ID41a38.html
1138,93999.0,59.0,47.2,11.8,2,new,unfurnished,shared,9,10,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/yakkasaraj-eco-house-2kom-59m2-mukimi-evos-shrustavelli-arzon-ID40NOP.html
1139,544000000.0,80.0,78.0,12.0,3,new,unfurnished,private,4,9,,To'ytepa,False,https://www.olx.uz/d/oz/obyavlenie/3-xonalik-kvartira-srochno-sotiladi-bolib-tolashga-ham-beriladi-ID3S2gE.html
